,average-loss
0,12831218.229683543
1,14634708346.274586
2,45227528490.27452
3,53172244456.640564
4,34883899932.67507
5,10.138112117141485
6,110777696.3930554
7,86744174178.3706
8,13443260.755564794
9,37136486018.379524
10,57771952482.94716
11,13342444.967392053
12,83425100997.5316
13,95846673258.275
14,89697549592.99255
15,63370223.55395601
16,0.3756493921279907
17,112799083.87327762
18,87329038644.84105
19,28.913550956726073
20,103016684.84150873
21,97601805972.2305
22,12448282.781142227
23,33135192363.99296
24,61147240005.55776
25,63316437.09244821
26,63859865.15767975
27,28.10616128730774
28,107433849.15881458
29,85970563727.72911
