,external,internal,iteration
0,{},"{'c': array([7.019401], dtype=float32), 'training': True, 'b': array([-0.4735547], dtype=float32), 'a': array([7.4430785], dtype=float32), 'd': array([0.00470808], dtype=float32), 'e': array([0.], dtype=float32)}",200
1,{},"{'c': array([1.0177288], dtype=float32), 'training': True, 'b': array([2.3044913], dtype=float32), 'a': array([2.9471712], dtype=float32), 'd': array([0.], dtype=float32), 'e': array([0.01638568], dtype=float32)}",200
2,{},"{'c': array([0.], dtype=float32), 'training': True, 'b': array([1.4513253], dtype=float32), 'a': array([1.5008049], dtype=float32), 'd': array([-0.39055827], dtype=float32), 'e': array([0.02996263], dtype=float32)}",200
3,{},"{'c': array([0.34190896], dtype=float32), 'training': True, 'b': array([0.], dtype=float32), 'a': array([1.2862283], dtype=float32), 'd': array([-0.5436395], dtype=float32), 'e': array([0.07955489], dtype=float32)}",200
4,{},"{'c': array([0.46396333], dtype=float32), 'training': True, 'b': array([-0.41217774], dtype=float32), 'a': array([0.], dtype=float32), 'd': array([-0.23042126], dtype=float32), 'e': array([0.00147291], dtype=float32)}",200
5,{},"{'c': array([7.0013423], dtype=float32), 'training': True, 'b': array([-0.0592718], dtype=float32), 'a': array([7.0701575], dtype=float32), 'd': array([0.], dtype=float32), 'e': array([0.], dtype=float32)}",200
6,{},"{'c': array([0.], dtype=float32), 'training': True, 'b': array([0.88206077], dtype=float32), 'a': array([45.49255], dtype=float32), 'd': array([0.00984458], dtype=float32), 'e': array([0.], dtype=float32)}",200
7,{},"{'c': array([0.], dtype=float32), 'training': True, 'b': array([-3.9512262], dtype=float32), 'a': array([1.299213], dtype=float32), 'd': array([0.], dtype=float32), 'e': array([0.13270979], dtype=float32)}",200
8,{},"{'c': array([7.3915462], dtype=float32), 'training': True, 'b': array([0.], dtype=float32), 'a': array([6.9383564], dtype=float32), 'd': array([-0.03977019], dtype=float32), 'e': array([0.], dtype=float32)}",200
9,{},"{'c': array([0.33561856], dtype=float32), 'training': True, 'b': array([0.], dtype=float32), 'a': array([1.695339], dtype=float32), 'd': array([0.], dtype=float32), 'e': array([0.01688121], dtype=float32)}",200
10,{},"{'c': array([0.], dtype=float32), 'training': True, 'b': array([0.], dtype=float32), 'a': array([1.0922303], dtype=float32), 'd': array([-0.7899283], dtype=float32), 'e': array([0.08771448], dtype=float32)}",200
11,{},"{'c': array([7.0238614], dtype=float32), 'training': True, 'b': array([1.0585568], dtype=float32), 'a': array([0.], dtype=float32), 'd': array([0.014551], dtype=float32), 'e': array([0.], dtype=float32)}",200
12,{},"{'c': array([0.11521243], dtype=float32), 'training': True, 'b': array([-5.044111], dtype=float32), 'a': array([0.], dtype=float32), 'd': array([0.], dtype=float32), 'e': array([0.13964497], dtype=float32)}",200
13,{},"{'c': array([0.], dtype=float32), 'training': True, 'b': array([-0.80346185], dtype=float32), 'a': array([0.], dtype=float32), 'd': array([-0.50203836], dtype=float32), 'e': array([0.12780236], dtype=float32)}",200
14,{},"{'c': array([0.11829234], dtype=float32), 'training': True, 'b': array([0.], dtype=float32), 'a': array([0.], dtype=float32), 'd': array([-1.3654543], dtype=float32), 'e': array([0.12262885], dtype=float32)}",200
15,{},"{'c': array([0.], dtype=float32), 'training': True, 'b': array([-1.3274555], dtype=float32), 'a': array([46.793373], dtype=float32), 'd': array([0.], dtype=float32), 'e': array([0.], dtype=float32)}",200
16,{},"{'c': array([7.000721], dtype=float32), 'training': True, 'b': array([0.], dtype=float32), 'a': array([7.1095667], dtype=float32), 'd': array([0.], dtype=float32), 'e': array([0.], dtype=float32)}",200
17,{},"{'c': array([0.], dtype=float32), 'training': True, 'b': array([0.], dtype=float32), 'a': array([45.11049], dtype=float32), 'd': array([0.0107247], dtype=float32), 'e': array([0.], dtype=float32)}",200
18,{},"{'c': array([0.], dtype=float32), 'training': True, 'b': array([0.], dtype=float32), 'a': array([0.87766296], dtype=float32), 'd': array([0.], dtype=float32), 'e': array([0.09582156], dtype=float32)}",200
19,{},"{'c': array([7.006544], dtype=float32), 'training': True, 'b': array([-0.02415226], dtype=float32), 'a': array([0.], dtype=float32), 'd': array([0.], dtype=float32), 'e': array([0.], dtype=float32)}",200
20,{},"{'c': array([0.], dtype=float32), 'training': True, 'b': array([1.1023253], dtype=float32), 'a': array([0.], dtype=float32), 'd': array([0.00532464], dtype=float32), 'e': array([0.], dtype=float32)}",200
21,{},"{'c': array([0.], dtype=float32), 'training': True, 'b': array([-1.0612172], dtype=float32), 'a': array([0.], dtype=float32), 'd': array([0.], dtype=float32), 'e': array([-0.17070636], dtype=float32)}",200
